Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1,15.1,145.48,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.009,11.8,115.35,5
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-0.083,8.5,165.02,5
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,-0.174,5.2,126.5,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,-0.266,1.9,55.16,5
low fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,-0.357,-1.4,102.4,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,-0.448,-4.7,81.46,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,-0.54,-8,96.07,5
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-0.631,-11.3,124.17,5
Low Fat,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-0.723,12.84,181.93,5
LF,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-0.814,12.84,109.89,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,-0.906,18.85,192.18,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-0.997,17.1,112.39,5
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,-1.088,16.35,195.21,5
Low Fat,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-1.18,12.84,173.17,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,-1.271,20.25,222.18,5
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,-1.363,17.85,93.74,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-1.454,19.2,197.61,5
Low Fat,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-1.546,12.84,98.77,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-1.637,12.1,178.57,5
Regular,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-1.728,12.84,60.22,5
Low Fat,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,-1.82,12.84,50.97,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-1.911,6.85,261.66,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-2.003,17.25,173.18,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,-2.094,16,76.2,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,-2.185,13.35,150.24,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-2.277,6.7,221.95,5
Regular,FDO19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-2.368,12.84,47.4,5
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-2.46,16.6,57.26,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,-2.551,6.92,93.18,5
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,-2.643,5.82,167.78,5
Low Fat,NCQ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,-2.734,14.8,196.38,5
Low Fat,DRJ35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,-2.825,10.1,59.99,5
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,-2.917,7.67,35.42,5
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,-3.008,15.6,174.31,5
low fat,FDZ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-3.1,9.31,61.65,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-3.191,11.8,46.84,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,-3.282,13.15,88.69,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-3.374,16.25,126.2,5
Regular,FDP51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,-3.465,13.85,119.61,5
Regular,FDT50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,-3.557,6.75,95.68,5
Regular,FDQ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-3.648,12.84,62.95,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,-3.74,10.5,159.09,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-3.831,9.3,104.3,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,-3.922,20.75,150.57,5
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,-4.014,19.2,239.22,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,-4.105,18.1,127.33,5
LF,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.197,17.5,256.33,5
LF,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.288,10.5,235.52,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.379,7.98,82.43,5
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.471,10,264.62,5
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.562,10.1,114.92,5
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.654,8.93,152.23,5
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.745,7.3,147.21,5
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.837,7.93,122.14,5
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-4.928,15.35,62.72,5
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.019,19.35,120.91,5
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.111,9.5,111.12,5
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.202,10.5,39.22,5
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-5.294,15.6,111.95,5
